pair_id,pair_type,transformation,interval_ngram_similarity,lcs_similarity,edit_distance_similarity,chord_ngram_similarity,harmonic_edit_distance,pitch_class_similarity,rhythm_ngram_similarity,ioi_similarity,rhythmic_edit_distance,score_melody,score_harmony,score_rhythm,score_global,simple_average,weighted_average,comparison_representation,experiment_category
pair_004593,negative,None,0.057143,0.120000,0.120000,0.000000,0.000000,0.000000,0.000000,0.404128,0.000000,0.099048,0.000000,0.134709,0.073296,0.077919,0.073296,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/031_segment_02.json,Outros
pair_004594,negative,None,0.023256,0.200000,0.160000,0.000000,0.000000,0.038462,0.000000,0.292404,0.000000,0.127752,0.012821,0.097468,0.079955,0.079347,0.079955,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/072_segment_02.json,Transformações Combinadas
pair_004595,negative,None,0.026316,0.160000,0.120000,0.000000,0.038462,0.041667,0.000000,0.458071,0.000000,0.102105,0.026710,0.152690,0.088363,0.093835,0.088363,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/090_segment_02.json,Outros
pair_004596,negative,None,0.179487,0.440000,0.240000,0.000000,0.038462,0.182692,0.000000,0.371991,0.000000,0.286496,0.073718,0.123997,0.171399,0.161404,0.171399,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/104_segment_01.json,Transformações Combinadas
pair_004597,negative,None,0.000000,0.000000,0.000000,0.000000,0.038462,0.135897,0.000000,0.000000,0.000000,0.000000,0.058120,0.000000,0.020342,0.019373,0.020342,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/chord_substitution/random_seed_42__strength_0p25/128_segment_02.json,Transformações Harmônicas
pair_004598,negative,None,0.000000,0.000000,0.000000,0.000000,0.038462,0.108974,0.000000,0.000000,0.000000,0.000000,0.049145,0.000000,0.017201,0.016382,0.017201,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/chord_substitution/random_seed_42__strength_0p25/176_segment_01.json,Transformações Harmônicas
pair_004599,negative,None,0.000000,0.000000,0.000000,0.000000,0.055556,0.054630,0.000000,0.000000,0.000000,0.000000,0.036729,0.000000,0.012855,0.012243,0.012855,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/301_segment_02.json,Transformações Harmônicas
pair_004600,negative,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.173518,0.000000,0.000000,0.000000,0.057839,0.014460,0.019280,0.014460,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/tempo_change/random_seed_42__tempo_factor_0p8/345_segment_01.json,Transformações Rítmicas
pair_004601,negative,None,0.021277,0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060426,0.000000,0.000000,0.024170,0.020142,0.024170,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/ornamentation/density_0p2__random_seed_42/460_segment_01.json,Transformações Melódicas
pair_004602,negative,None,0.145833,0.250000,0.187500,0.000000,0.030303,0.161111,0.000000,0.345554,0.000000,0.194444,0.063805,0.115185,0.128906,0.124478,0.128906,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/748_segment_01.json,Outros
